brand_name,os,screen_size,4g,5g,main_camera_mp,selfie_camera_mp,int_memory,ram,battery,weight,release_year,days_used,new_price,used_price
Honor,Android,23.97,yes,no,13.0,5.0,64.0,3.0,3020.0,146.0,2020,127,111.62,86.96
Honor,Android,28.1,yes,yes,13.0,16.0,128.0,8.0,4300.0,213.0,2020,325,249.39,161.49
Honor,Android,24.29,yes,yes,13.0,8.0,128.0,8.0,4200.0,213.0,2020,162,359.47,268.55
Honor,Android,26.04,yes,yes,13.0,8.0,64.0,6.0,7250.0,480.0,2020,345,278.93,180.23
Honor,Android,15.72,yes,no,13.0,8.0,64.0,3.0,5000.0,185.0,2020,293,140.87,103.8
Honor,Android,21.43,yes,no,13.0,8.0,64.0,4.0,4000.0,176.0,2020,223,157.7,113.67
Honor,Android,19.84,yes,no,8.0,5.0,32.0,2.0,3020.0,144.0,2020,234,91.74,72.29
Honor,Android,18.57,yes,no,13.0,8.0,64.0,4.0,3400.0,164.0,2020,219,179.24,132.91
Honor,Android,15.72,yes,no,13.0,16.0,128.0,6.0,4000.0,165.0,2020,161,200.32,150.88
Honor,Android,21.43,yes,no,13.0,8.0,128.0,6.0,4000.0,176.0,2020,327,159.75,103.59
Honor,Android,16.67,yes,no,13.0,8.0,64.0,3.0,3020.0,150.0,2020,268,111.46,86.79
Honor,Android,15.72,yes,no,13.0,8.0,64.0,4.0,5000.0,185.0,2020,344,117.94,74.6
Honor,Android,24.29,yes,yes,13.0,16.0,128.0,8.0,4100.0,206.0,2019,537,499.68,249.81
Honor,Others,8.73,no,no,13.0,16.0,4.0,4.0,455.0,41.0,2019,432,179.62,89.77
Honor,Android,15.72,yes,no,13.0,16.0,64.0,4.0,4000.0,171.5,2019,336,221.13,144.87
Honor,Android,23.97,yes,no,13.0,5.0,32.0,2.0,3020.0,146.0,2019,230,88.9,64.48
Honor,Android,21.43,yes,no,13.0,8.0,64.0,4.0,4000.0,176.0,2019,248,129.83,97.03
Honor,Android,19.37,yes,no,13.0,32.0,128.0,6.0,3750.0,172.0,2019,395,249.12,161.05
Honor,Android,24.61,yes,no,13.0,16.0,64.0,4.0,4000.0,206.0,2019,421,180.04,90.02
Honor,Android,23.97,yes,no,13.0,5.0,32.0,2.0,3020.0,146.0,2019,532,120.58,60.35
Honor,Android,25.56,yes,no,5.0,2.0,32.0,3.0,5100.0,173.0,2019,266,248.9,167.63
Honor,Android,20.32,yes,no,8.0,8.0,32.0,3.0,5100.0,173.0,2019,321,201.14,131.89
Others,Android,20.32,no,no,8.0,0.3,16.0,1.0,5680.0,453.6,2013,933,240.9,72.36
HTC,Android,15.56,yes,no,13.0,16.0,32.0,3.0,3850.0,170.0,2019,187,180.5,136.38
HTC,Android,13.81,yes,no,13.0,13.0,64.0,4.0,3075.0,150.0,2019,499,220.9,110.54
HTC,Android,15.56,yes,no,13.0,8.0,32.0,3.0,3300.0,160.0,2019,497,149.32,74.59
HTC,Android,15.24,yes,no,13.0,14.5,128.0,6.0,3930.0,180.0,2019,202,419.88,314.66
